Designator,Mid X,Mid Y,Rotation,Layer
C1,183.627163,-88.960219,0.0,bottom
C10,180.302163,-85.910219,0.0,bottom
C11,180.31,-87.58,0.0,bottom
C12,176.7,-83.7,180.0,bottom
C13,175.4,-92.9,180.0,bottom
C14,184.8,-125.6,180.0,bottom
C15,152.48,-91.8945,90.0,bottom
C16,195.422163,-86.550219,180.0,bottom
C17,195.352163,-91.710219,180.0,bottom
C18,184.572163,-112.875438,90.0,top
C19,158.0,-120.8,270.0,top
C2,183.6,-82.6,0.0,bottom
C20,169.052163,-114.625219,90.0,top
C21,168.962163,-109.600219,0.0,top
C22,177.519663,-107.490219,0.0,bottom
C23,201.542163,-113.800219,0.0,bottom
C24,201.542163,-111.550219,0.0,bottom
C25,177.219663,-105.640219,180.0,bottom
C26,171.272163,-117.100219,90.0,bottom
C27,173.172163,-116.600219,270.0,bottom
C28,174.2,-128.275,0.0,bottom
C29,179.7,-128.5,0.0,bottom
C3,183.657163,-94.230219,0.0,bottom
C30,201.552163,-117.390219,0.0,bottom
C31,201.5375,-122.02,0.0,bottom
C32,183.392163,-117.030219,270.0,top
C4,176.7,-85.4,180.0,bottom
C5,183.6,-90.7,0.0,bottom
C6,183.697163,-92.460219,0.0,bottom
C7,183.612163,-84.170219,180.0,bottom
C8,183.582163,-85.880219,180.0,bottom
C9,175.4,-94.5,180.0,bottom
D1,171.575,-115.0,270.0,top
D2,200.942163,-106.700219,180.0,top
D3,174.162163,-57.820219,270.0,top
D4,184.242163,-57.760219,270.0,top
D5,178.88,-57.7875,270.0,top
D8,170.472163,-57.830219,270.0,top
D9,188.782163,-57.800219,270.0,top
I2C,156.09,-84.0445,0.0,top
J1,179.1,-102.5,180.0,top
J12,159.609663,-124.955219,0.0,bottom
J5,179.677163,-68.380219,270.0,bottom
L1,178.132163,-115.530219,270.0,top
LS1,157.022163,-65.720219,0.0,top
MOTER-R,197.842163,-102.458219,0.0,bottom
MOTOR-L,156.882163,-107.828219,0.0,bottom
Q1,158.0,-74.1,270.0,top
R1,183.7,-97.3,0.0,bottom
R10,161.05,-73.875,270.0,top
R11,200.542163,-109.450219,0.0,bottom
R17,155.05,-78.75,270.0,top
R18,157.65,-78.75,270.0,top
R19,174.2,-125.475,0.0,bottom
R2,157.68,-91.9445,270.0,bottom
R20,179.7,-125.6,0.0,bottom
R21,197.4675,-124.865,0.0,top
R3,160.18,-91.9945,90.0,bottom
R4,182.972163,-112.865219,90.0,top
R5,183.882163,-110.190219,180.0,top
R6,164.2,-119.8,180.0,top
R7,172.422163,-109.650219,0.0,top
R8,160.2,-120.6875,90.0,top
R9,160.2,-116.4,90.0,top
RESET,185.6,-127.2,90.0,top
RN2,206.842163,-74.560219,270.0,top
RN3,178.892163,-52.960219,180.0,top
ST-LINK,156.5,-94.65,180.0,top
SW2,179.2,-127.2,90.0,top
SW3,173.4,-127.275,90.0,top
SW4,200.102163,-74.730219,180.0,top
U1,179.8,-89.0,90.0,top
U2,200.142163,-111.600219,180.0,top
U3,178.875,-116.225,90.0,bottom
U4,165.7508,-114.6,180.0,top
U5,200.0875,-119.57,180.0,top
Y1,195.422163,-89.200219,180.0,bottom
